10 1 16.0 r1.1 17.0      -
10 1 16.0 r1.1 03.0      -
10 1 16.0 r1.1 06.2      -
10 1 16.0 r1.2 04.1 04.2 -
10 1 10.1 r1.1 17.0      -
10 1 10.1 r1.1 03.0      -
10 1 10.1 r1.1 06.2      -
10 1 10.1 r1.2 04.1 04.2 -
10 1 25.0 r1.1 17.0      -
10 1 25.0 r1.1 03.0      -
10 1 25.0 r1.1 06.2      -
10 1 25.0 r1.2 04.1 04.2 -
10 1 09.0 r1.1 17.0      -
10 1 09.0 r1.1 03.0      -
10 1 09.0 r1.1 06.2      -
10 1 09.0 r1.2 04.1 04.2 -
10 1 07.0 r1.2 41.1 45.1 0
10 1 07.0 r1.2 41.1 45.2 0
10 1 07.0 r1.2 40.1 49.1 0
10 1 07.0 r1.2 42.1 45.1 0
10 1 07.0 r1.2 42.1 45.2 0
10 1 07.0 r1.2 42.1 49.1 0
10 1 03.0 r1.2 41.1 45.1 0
10 1 03.0 r1.2 41.1 45.2 0
10 1 03.0 r1.2 40.1 49.1 0
10 1 03.0 r1.2 42.1 45.1 0
10 1 03.0 r1.2 42.1 45.2 0
10 1 03.0 r1.2 42.1 49.1 0
10 1 04.1 r1.2 41.1 45.1 0
10 1 04.1 r1.2 41.1 45.2 0
10 1 04.1 r1.2 40.1 49.1 0
10 1 04.1 r1.2 42.1 45.1 0
10 1 04.1 r1.2 42.1 45.2 0
10 1 04.1 r1.2 42.1 49.1 0
10 1 06.2 r1.2 41.1 45.1 0
10 1 06.2 r1.2 41.1 45.2 0
10 1 06.2 r1.2 40.1 49.1 0
10 1 06.2 r1.2 42.1 45.1 0
10 1 06.2 r1.2 42.1 45.2 0
10 1 06.2 r1.2 42.1 49.1 0
10 1 41.1 r1.2 71.1 32.1 1
10 1 41.1 r1.2 71.1 37.0 1
10 1 41.1 r1.2 71.1 32.2 1
10 1 41.1 r1.2 71.1 67.1 1
10 1 41.1 r1.2 71.1 60.1 1
10 1 41.1 r1.2 71.1 67.2 1
10 1 40.1 r1.2 71.1 32.1 1
10 1 40.1 r1.2 71.1 37.0 1
10 1 40.1 r1.2 71.1 32.2 1
10 1 40.1 r1.2 71.1 67.1 1
10 1 40.1 r1.2 71.1 60.1 1
10 1 40.1 r1.2 71.1 67.2 1
10 1 42.1 r1.2 71.1 32.1 1
10 1 42.1 r1.2 71.1 37.0 1
10 1 42.1 r1.2 71.1 32.2 1
10 1 42.1 r1.2 71.1 67.1 1
10 1 42.1 r1.2 71.1 60.1 1
10 1 42.1 r1.2 71.1 67.2 1
10 1 71.1 r3.0 76.0 43.0 1
10 1 71.1 r3.0 77.0      1
10 1 41.1 r1.2 64.1 32.1 1
10 1 41.1 r1.2 64.1 37.0 1
10 1 41.1 r1.2 64.1 32.2 1
10 1 40.1 r1.2 64.1 32.1 1
10 1 40.1 r1.2 64.1 37.0 1
10 1 40.1 r1.2 64.1 32.2 1
10 1 42.1 r1.2 64.1 32.1 1
10 1 42.1 r1.2 64.1 37.0 1
10 1 42.1 r1.2 64.1 32.2 1
10 1 41.1 r2.2 28.0 32.1 1
10 1 41.1 r2.2 28.0 37.0 1
10 1 41.1 r2.2 28.0 32.2 1
10 1 40.1 r2.2 28.0 32.1 1
10 1 40.1 r2.2 28.0 37.0 1
10 1 40.1 r2.2 28.0 32.2 1
10 1 42.1 r2.2 28.0 32.1 1
10 1 42.1 r2.2 28.0 37.0 1
10 1 42.1 r2.2 28.0 32.2 1
10 1 96.0 r4.0 24.0      1
10 1 71.1 r1.3 63.2 73.0 1
10 1 71.1 r1.3 63.2 75.0 1
10 1 64.1 r1.3 63.2 73.0 1
10 1 64.1 r1.3 63.2 75.0 1
10 1 71.1 r1.1 78.0      1
10 1 64.1 r1.1 78.0      1
10 1 71.1 r1.1 84.0      1
10 1 41.1 r2.2 96.0 96.0 1
10 1 41.1 r2.2 96.0 96.0 1
10 1 41.1 r2.2 96.0 32.1 1
10 1 41.1 r2.2 96.0 32.2 1
10 1 41.1 r2.2 96.0 37.0 1
10 1 40.1 r2.2 96.0 96.0 1
10 1 40.1 r2.2 96.0 96.0 1
10 1 40.1 r2.2 96.0 32.1 1
10 1 40.1 r2.2 96.0 32.2 1
10 1 40.1 r2.2 96.0 37.0 1
10 1 42.1 r2.2 96.0 96.0 1
10 1 42.1 r2.2 96.0 96.0 1
10 1 42.1 r2.2 96.0 32.1 1
10 1 42.1 r2.2 96.0 32.2 1
10 1 42.1 r2.2 96.0 37.0 1
10 1 71.1 r1.2 84.0 96.0 1
10 1 64.1 r1.2 84.0 96.0 1
10 1 63.2 r1.1 96.0      2
10 1 63.2 r1.1 60.1      2
10 1 63.2 r1.1 80.0      2
10 1 63.2 r1.1 79.0      2
10 1 78.0 r1.1 96.0      2
10 1 78.0 r1.1 60.1      2
10 1 78.0 r1.1 80.0      2
10 1 78.0 r1.1 79.0      2
10 1 84.0 r1.1 96.0      2
10 1 84.0 r1.1 60.1      2
10 1 84.0 r1.1 80.0      2
10 1 84.0 r1.1 79.0      2
10 1 96.0 r1.2 13.0 88.1 2
10 1 60.1 r1.2 13.0 88.1 2
10 1 80.0 r1.2 13.0 88.1 2
10 1 79.0 r1.2 13.0 88.1 2
10 1 96.0 r1.2 95.0 88.1 2
10 1 60.1 r1.2 95.0 88.1 2
10 1 80.0 r1.2 95.0 88.1 2
10 1 79.0 r1.2 95.0 88.1 2
10 1 96.0 r1.2 61.1 88.1 2
10 1 60.1 r1.2 61.1 88.1 2
10 1 80.0 r1.2 61.1 88.1 2
10 1 79.0 r1.2 61.1 88.1 2
10 1 88.1 r3.0 89.0      2
10 1 88.1 r3.0 05.1      2
10 1 13.0 r5.0           2
10 1 96.0 r5.0           2
10 1 61.1 r5.0           2
13   09.0 r1.2 40.1 43.0 0
13   09.0 r1.2 40.1 49.1 0
13   09.0 r1.2 40.1 55.5 0
13   09.0 r1.2 40.1 32.1 0
13   09.0 r1.2 40.1 45.3 0
13   09.0 r1.3 40.1 10.1 0
13   09.0 r1.3 40.1 92.0 0
13   09.0 r1.3 40.1 05.0 0
13   09.0 r1.3 41.1 10.1 0
13   09.0 r1.3 41.1 92.0 0
13   09.0 r1.3 41.1 05.0 0
13   09.0 r1.3 42.1 10.1 0
13   09.0 r1.3 42.1 92.0 0
13   09.0 r1.3 42.1 05.0 0
13   09.0 r1.2 41.1 44.0 0
13   09.0 r1.2 41.1 45.1 0
13   09.0 r1.2 42.1 44.0 0
13   09.0 r1.2 42.1 45.1 0
13   07.0 r1.2 40.1 43.0 0
13   07.0 r1.2 40.1 49.1 0
13   07.0 r1.2 40.1 55.5 0
13   07.0 r1.2 40.1 32.1 0
13   07.0 r1.2 40.1 45.3 0
13   07.0 r1.3 40.1 10.1 0
13   07.0 r1.3 40.1 92.0 0
13   07.0 r1.3 40.1 05.0 0
13   07.0 r1.3 41.1 10.1 0
13   07.0 r1.3 41.1 92.0 0
13   07.0 r1.3 41.1 05.0 0
13   07.0 r1.3 42.1 10.1 0
13   07.0 r1.3 42.1 92.0 0
13   07.0 r1.3 42.1 05.0 0
13   07.0 r1.2 41.1 44.0 0
13   07.0 r1.2 41.1 45.1 0
13   07.0 r1.2 42.1 44.0 0
13   07.0 r1.2 42.1 45.1 0
13   16.0 r1.2 40.1 43.0 0
13   16.0 r1.2 40.1 49.1 0
13   16.0 r1.2 40.1 55.5 0
13   16.0 r1.2 40.1 32.1 0
